,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.817,0.669,0,-4.278,0,0.1,0.105,1.25e-06,0.247,0.693,106.934,audio_features,5gOtq0sKU24ZF8hnXlSp1V,spotify:track:5gOtq0sKU24ZF8hnXlSp1V,https://api.spotify.com/v1/tracks/5gOtq0sKU24ZF8hnXlSp1V,https://api.spotify.com/v1/audio-analysis/5gOtq0sKU24ZF8hnXlSp1V,181550,4
1,0.87,0.479,9,-7.779,1,0.165,0.161,0.000157,0.209,0.717,104.059,audio_features,0HaRLPnr887lcQM2YQzkff,spotify:track:0HaRLPnr887lcQM2YQzkff,https://api.spotify.com/v1/tracks/0HaRLPnr887lcQM2YQzkff,https://api.spotify.com/v1/audio-analysis/0HaRLPnr887lcQM2YQzkff,159124,4
2,0.481,0.66,6,-10.189,1,0.0761,0.35,0.0,0.108,0.504,111.832,audio_features,0GfCR4T6WOErZOw1557ln7,spotify:track:0GfCR4T6WOErZOw1557ln7,https://api.spotify.com/v1/tracks/0GfCR4T6WOErZOw1557ln7,https://api.spotify.com/v1/audio-analysis/0GfCR4T6WOErZOw1557ln7,159100,4
3,0.541,0.667,2,-7.821,1,0.131,0.347,1.49e-06,0.0591,0.831,155.117,audio_features,2AKS1HhpLu2rgkojECUm3V,spotify:track:2AKS1HhpLu2rgkojECUm3V,https://api.spotify.com/v1/tracks/2AKS1HhpLu2rgkojECUm3V,https://api.spotify.com/v1/audio-analysis/2AKS1HhpLu2rgkojECUm3V,207475,5
4,0.711,0.725,3,-8.315,0,0.0941,0.424,0.129,0.11,0.53,105.016,audio_features,1wADwLSkYhrSmy4vdy6BRn,spotify:track:1wADwLSkYhrSmy4vdy6BRn,https://api.spotify.com/v1/tracks/1wADwLSkYhrSmy4vdy6BRn,https://api.spotify.com/v1/audio-analysis/1wADwLSkYhrSmy4vdy6BRn,183057,4
5,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,audio_features,26b3oVLrRUaaybJulow9kz,spotify:track:26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/tracks/26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/audio-analysis/26b3oVLrRUaaybJulow9kz,184791,5
6,0.819,0.582,7,-7.653,0,0.043,0.0892,0.000396,0.0878,0.604,102.98,audio_features,3zX0dMVPyLnut4t7WOPJ5Q,spotify:track:3zX0dMVPyLnut4t7WOPJ5Q,https://api.spotify.com/v1/tracks/3zX0dMVPyLnut4t7WOPJ5Q,https://api.spotify.com/v1/audio-analysis/3zX0dMVPyLnut4t7WOPJ5Q,170097,4
7,0.747,0.665,5,-7.073,0,0.0363,0.0289,0.000153,0.102,0.554,104.959,audio_features,3IQT2MM49GkXfHF9eemaw5,spotify:track:3IQT2MM49GkXfHF9eemaw5,https://api.spotify.com/v1/tracks/3IQT2MM49GkXfHF9eemaw5,https://api.spotify.com/v1/audio-analysis/3IQT2MM49GkXfHF9eemaw5,148000,4
8,0.818,0.605,1,-7.121,1,0.038,0.293,0.0116,0.0696,0.366,104.931,audio_features,5CTQCPv51aLWpwTbqo8mEL,spotify:track:5CTQCPv51aLWpwTbqo8mEL,https://api.spotify.com/v1/tracks/5CTQCPv51aLWpwTbqo8mEL,https://api.spotify.com/v1/audio-analysis/5CTQCPv51aLWpwTbqo8mEL,178225,4
9,0.727,0.6,8,-4.799,1,0.24,0.636,5.1e-06,0.106,0.754,199.796,audio_features,7ErtOGQ9DwyQa3lwP77j4u,spotify:track:7ErtOGQ9DwyQa3lwP77j4u,https://api.spotify.com/v1/tracks/7ErtOGQ9DwyQa3lwP77j4u,https://api.spotify.com/v1/audio-analysis/7ErtOGQ9DwyQa3lwP77j4u,216000,4
10,0.524,0.627,10,-4.906,0,0.128,0.355,0.0,0.1,0.423,94.004,audio_features,4QI32cLrF64ZTPfIHwIH5w,spotify:track:4QI32cLrF64ZTPfIHwIH5w,https://api.spotify.com/v1/tracks/4QI32cLrF64ZTPfIHwIH5w,https://api.spotify.com/v1/audio-analysis/4QI32cLrF64ZTPfIHwIH5w,190000,4
11,0.591,0.579,2,-6.001,0,0.353,0.503,0.0,0.072,0.704,92.334,audio_features,6ZZgjRB0CXBsKGxpJIXYFD,spotify:track:6ZZgjRB0CXBsKGxpJIXYFD,https://api.spotify.com/v1/tracks/6ZZgjRB0CXBsKGxpJIXYFD,https://api.spotify.com/v1/audio-analysis/6ZZgjRB0CXBsKGxpJIXYFD,162720,4
12,0.632,0.806,7,-5.771,0,0.155,0.301,0.0,0.2,0.293,139.124,audio_features,2IBrgYf3Hjw16c6oNwkZ9M,spotify:track:2IBrgYf3Hjw16c6oNwkZ9M,https://api.spotify.com/v1/tracks/2IBrgYf3Hjw16c6oNwkZ9M,https://api.spotify.com/v1/audio-analysis/2IBrgYf3Hjw16c6oNwkZ9M,177693,3
13,0.91,0.529,4,-9.004,1,0.198,0.38,0.00162,0.178,0.964,106.976,audio_features,6lA81rwE2fmZlXOBv9ttI9,spotify:track:6lA81rwE2fmZlXOBv9ttI9,https://api.spotify.com/v1/tracks/6lA81rwE2fmZlXOBv9ttI9,https://api.spotify.com/v1/audio-analysis/6lA81rwE2fmZlXOBv9ttI9,143595,4
14,0.828,0.726,10,-6.389,0,0.0419,0.106,0.00101,0.103,0.67,113.017,audio_features,3baPniPXS0iEII8rDUJdYP,spotify:track:3baPniPXS0iEII8rDUJdYP,https://api.spotify.com/v1/tracks/3baPniPXS0iEII8rDUJdYP,https://api.spotify.com/v1/audio-analysis/3baPniPXS0iEII8rDUJdYP,212976,4
15,0.721,0.812,0,-6.548,0,0.194,0.258,0.00489,0.107,0.667,102.077,audio_features,7E8Dy2nkCyVShfROcpxsMg,spotify:track:7E8Dy2nkCyVShfROcpxsMg,https://api.spotify.com/v1/tracks/7E8Dy2nkCyVShfROcpxsMg,https://api.spotify.com/v1/audio-analysis/7E8Dy2nkCyVShfROcpxsMg,164706,4
16,0.737,0.806,1,-7.611,0,0.0685,0.117,0.0,0.275,0.502,125.018,audio_features,0xPz8qjfchKRCAmABJH65Z,spotify:track:0xPz8qjfchKRCAmABJH65Z,https://api.spotify.com/v1/tracks/0xPz8qjfchKRCAmABJH65Z,https://api.spotify.com/v1/audio-analysis/0xPz8qjfchKRCAmABJH65Z,246500,4
17,0.763,0.747,6,-6.078,0,0.0464,0.0177,0.0167,0.111,0.621,98.024,audio_features,19N5psNQn5XtpM8ATXRWQ7,spotify:track:19N5psNQn5XtpM8ATXRWQ7,https://api.spotify.com/v1/tracks/19N5psNQn5XtpM8ATXRWQ7,https://api.spotify.com/v1/audio-analysis/19N5psNQn5XtpM8ATXRWQ7,186122,4
18,0.785,0.433,1,-8.142,0,0.0502,0.511,9.92e-06,0.0863,0.641,103.966,audio_features,0bVugkWRfHhHLPfFFVkHpL,spotify:track:0bVugkWRfHhHLPfFFVkHpL,https://api.spotify.com/v1/tracks/0bVugkWRfHhHLPfFFVkHpL,https://api.spotify.com/v1/audio-analysis/0bVugkWRfHhHLPfFFVkHpL,177857,4
19,0.884,0.82,6,-6.163,1,0.0853,0.153,0.0989,0.0775,0.932,114.025,audio_features,6kXxI5VrbEdbpRxnM6vYBB,spotify:track:6kXxI5VrbEdbpRxnM6vYBB,https://api.spotify.com/v1/tracks/6kXxI5VrbEdbpRxnM6vYBB,https://api.spotify.com/v1/audio-analysis/6kXxI5VrbEdbpRxnM6vYBB,143229,4
20,0.76,0.787,2,-4.145,1,0.117,0.348,0.0,0.101,0.731,101.94,audio_features,4q5shWcqHr49OW32e7NfHB,spotify:track:4q5shWcqHr49OW32e7NfHB,https://api.spotify.com/v1/tracks/4q5shWcqHr49OW32e7NfHB,https://api.spotify.com/v1/audio-analysis/4q5shWcqHr49OW32e7NfHB,160025,4
21,0.819,0.817,1,-8.221,0,0.0698,0.0593,0.201,0.275,0.77,120.039,audio_features,5UwxpuGHkwiojKDaPC5ZNu,spotify:track:5UwxpuGHkwiojKDaPC5ZNu,https://api.spotify.com/v1/tracks/5UwxpuGHkwiojKDaPC5ZNu,https://api.spotify.com/v1/audio-analysis/5UwxpuGHkwiojKDaPC5ZNu,148000,4
22,0.845,0.7,4,-8.737,0,0.0391,0.1,0.00113,0.0984,0.85,119.997,audio_features,5V9XFfvCG4WP5ZdISOLvaF,spotify:track:5V9XFfvCG4WP5ZdISOLvaF,https://api.spotify.com/v1/tracks/5V9XFfvCG4WP5ZdISOLvaF,https://api.spotify.com/v1/audio-analysis/5V9XFfvCG4WP5ZdISOLvaF,166559,4
23,0.671,0.601,5,-7.335,1,0.307,0.39,8.9e-06,0.0988,0.519,100.961,audio_features,1CANP9um3E8PolYHhvzttV,spotify:track:1CANP9um3E8PolYHhvzttV,https://api.spotify.com/v1/tracks/1CANP9um3E8PolYHhvzttV,https://api.spotify.com/v1/audio-analysis/1CANP9um3E8PolYHhvzttV,159000,4
24,0.73,0.634,4,-7.191,0,0.181,0.107,1.44e-05,0.0976,0.798,171.874,audio_features,1B5I5yqLpVI5EosZS6bJFs,spotify:track:1B5I5yqLpVI5EosZS6bJFs,https://api.spotify.com/v1/tracks/1B5I5yqLpVI5EosZS6bJFs,https://api.spotify.com/v1/audio-analysis/1B5I5yqLpVI5EosZS6bJFs,146840,4
25,0.908,0.648,1,-7.341,1,0.238,0.0969,0.00109,0.328,0.471,124.987,audio_features,4qGP4DI9dHe9ZHWlCVccUn,spotify:track:4qGP4DI9dHe9ZHWlCVccUn,https://api.spotify.com/v1/tracks/4qGP4DI9dHe9ZHWlCVccUn,https://api.spotify.com/v1/audio-analysis/4qGP4DI9dHe9ZHWlCVccUn,211286,4
26,0.85,0.426,5,-10.436,0,0.282,0.472,0.000128,0.0723,0.537,106.966,audio_features,2vCndumgGW5m8Bi16Y3mNg,spotify:track:2vCndumgGW5m8Bi16Y3mNg,https://api.spotify.com/v1/tracks/2vCndumgGW5m8Bi16Y3mNg,https://api.spotify.com/v1/audio-analysis/2vCndumgGW5m8Bi16Y3mNg,176000,4
27,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,audio_features,2PDgArI0p7UkeYgXWuqpmh,spotify:track:2PDgArI0p7UkeYgXWuqpmh,https://api.spotify.com/v1/tracks/2PDgArI0p7UkeYgXWuqpmh,https://api.spotify.com/v1/audio-analysis/2PDgArI0p7UkeYgXWuqpmh,172342,4
28,0.864,0.705,0,-6.814,0,0.0962,0.642,5.66e-05,0.133,0.928,114.955,audio_features,0FnoxHCkfmjr2kBDwos4OG,spotify:track:0FnoxHCkfmjr2kBDwos4OG,https://api.spotify.com/v1/tracks/0FnoxHCkfmjr2kBDwos4OG,https://api.spotify.com/v1/audio-analysis/0FnoxHCkfmjr2kBDwos4OG,146478,4
29,0.558,0.703,6,-6.297,1,0.0723,0.0639,0.0,0.0586,0.852,114.924,audio_features,1IKn0PbfkoSFOFmeI3Oa0x,spotify:track:1IKn0PbfkoSFOFmeI3Oa0x,https://api.spotify.com/v1/tracks/1IKn0PbfkoSFOFmeI3Oa0x,https://api.spotify.com/v1/audio-analysis/1IKn0PbfkoSFOFmeI3Oa0x,177916,4
30,0.581,0.699,6,-6.664,0,0.182,0.292,9.72e-06,0.123,0.428,133.697,audio_features,5l6ZVWdSdot8a1FjPBiXvz,spotify:track:5l6ZVWdSdot8a1FjPBiXvz,https://api.spotify.com/v1/tracks/5l6ZVWdSdot8a1FjPBiXvz,https://api.spotify.com/v1/audio-analysis/5l6ZVWdSdot8a1FjPBiXvz,150280,5
31,0.697,0.664,9,-7.259,1,0.0918,0.0854,0.00167,0.0885,0.89,196.05,audio_features,2HWHLn9YZoG4MQojFcAASm,spotify:track:2HWHLn9YZoG4MQojFcAASm,https://api.spotify.com/v1/tracks/2HWHLn9YZoG4MQojFcAASm,https://api.spotify.com/v1/audio-analysis/2HWHLn9YZoG4MQojFcAASm,120034,4
32,0.546,0.611,0,-9.459,0,0.172,0.484,0.00149,0.101,0.749,104.059,audio_features,4lVEVXrlQlXPdYWMGTwrFe,spotify:track:4lVEVXrlQlXPdYWMGTwrFe,https://api.spotify.com/v1/tracks/4lVEVXrlQlXPdYWMGTwrFe,https://api.spotify.com/v1/audio-analysis/4lVEVXrlQlXPdYWMGTwrFe,205000,4
33,0.827,0.67,5,-4.628,1,0.0765,0.237,0.00135,0.313,0.85,108.011,audio_features,1POkAbQJ7Hja6FIzCYWCBY,spotify:track:1POkAbQJ7Hja6FIzCYWCBY,https://api.spotify.com/v1/tracks/1POkAbQJ7Hja6FIzCYWCBY,https://api.spotify.com/v1/audio-analysis/1POkAbQJ7Hja6FIzCYWCBY,173889,4
34,0.807,0.376,2,-7.768,1,0.0638,0.379,0.00387,0.114,0.671,104.908,audio_features,7cFPWLFiE60sdgzPsyydUJ,spotify:track:7cFPWLFiE60sdgzPsyydUJ,https://api.spotify.com/v1/tracks/7cFPWLFiE60sdgzPsyydUJ,https://api.spotify.com/v1/audio-analysis/7cFPWLFiE60sdgzPsyydUJ,209291,4
